Student_ID,Class_ID,Name,Gender,Date_of_Birth,Region of birth,Current state of residence,engagement_in_class,health_condition,Class Spec
076e2bba-7c53-48bf-af92-f25e45df16b6,SS2 Class B,Michael Yates,Female,2010-09-14,North Central,Kano,Unactive,None,Science
77a6e17c-d72b-4108-aa40-5f12b963f37f,SS1 Class A,Veronica Ferguson,Female,2007-07-26,North West,Imo,Highly active,None,Science
907bfe36-9786-48f8-a4de-82e6e82c7d7b,SS1 Class A,Angela Patterson,Female,2008-04-15,South South,Ogun,Troublesome,None,Art
0cdf742b-2e85-4b21-b631-de9ddde9f863,SS1 Class C,Garrett Gibson,Female,2008-03-19,South East,Kogi,Active,Dyslexia,Science
610e6a64-e130-4617-82df-f33556666f9f,SS3 Class D,Trevor Fisher,Female,2007-12-16,South East,Taraba,Slightly active,None,Art
04f64d86-7866-4765-94f7-ce8dd5bcb8d0,SS2 Class D,Amy Crane,Male,2010-08-22,South West,Oyo,Active,Dyslexia,Science
c7fee39f-1190-4938-a66f-d7f739669fa7,SS3 Class D,Amanda Johnson,Female,2010-09-27,South South,Gombe,Active,None,Art
05379ff6-d6d7-43b8-b309-4d353f4df561,SS1 Class A,Cynthia Wells,Male,2009-03-12,South East,Sokoto,Unactive,Dyslexia,Science
37cc863b-f2a0-4459-9060-4f621d48a071,SS2 Class E,David Wood,Female,2008-09-12,South West,Akwa Ibom,Unactive,None,Art
bf780e3f-f6b7-41f7-9b74-92459b1bc895,SS2 Class D,Paula Martin,Female,2007-04-12,South West,Ondo,Unactive,None,Art
0692dc63-9424-4ed5-9bac-5c154fa03f26,SS1 Class F,Laura Odonnell,Female,2008-09-21,South East,Kano,Unactive,None,Art
b70b3420-f104-4785-a58b-252360141de9,SS1 Class E,Kevin Rivas,Male,2007-11-26,North West,Edo,Highly active,None,Art
c5c14eb4-b27b-4d90-9a16-342c3e2b6091,SS1 Class F,Michael Trujillo,Male,2009-07-12,North Central,Niger,Slightly active,None,Art
c85aca46-90e0-44a0-bbdd-3933cbd58bf6,SS3 Class A,Joseph Stanley,Female,2007-09-09,South South,Zamfara,Highly active,None,Art
575aed2c-a5c5-450c-8186-a57611a72609,SS3 Class A,Jason Henry,Male,2010-05-12,North Central,Kebbi,Highly active,None,Art
a2b5b498-5cb8-4aed-b5f6-2c976efb63b1,SS3 Class C,Julia Hernandez,Female,2009-03-18,North Central,FCT,Slightly active,Dyslexia,Science
f7294951-8591-41d2-bbda-02422d174fc9,SS2 Class A,Lisa Gillespie,Female,2010-06-27,South West,Kaduna,Slightly active,Dyslexia,Science
6f81cf4f-7701-47bb-bbc6-7e1fc64ee6e3,SS1 Class D,Leslie Morris,Male,2009-02-26,North West,Kaduna,Unactive,None,Art
162f8a24-ef43-413c-94aa-c9a33ed8c56c,SS1 Class E,Jerry Christensen,Female,2008-03-07,South East,Kano,Unactive,None,Art
6105716b-ab0e-464e-9c3e-b2d591e1aa96,SS1 Class E,Johnny Nguyen,Female,2010-05-17,South East,Enugu,Unactive,None,Art
cc3ebdde-5ad5-4f06-b64d-7c877cd0129d,SS2 Class D,Douglas Carlson,Female,2008-05-31,South South,Ogun,Highly active,None,Art
0299436a-8e48-4223-86b9-8991e14eb70d,SS2 Class B,Cheryl Allen,Male,2007-09-02,North West,Kaduna,Slightly active,None,Art
c2171429-8e20-4724-bd13-7018680bac63,SS3 Class F,John Joseph,Female,2010-02-09,South South,Ebonyi,Active,None,Science
17d2582e-046a-4df5-8afd-a61372bb912d,SS1 Class E,Jared Sanchez,Male,2010-02-19,South West,Kogi,Troublesome,Dyslexia,Science
79279973-5e78-4fd7-94e0-d3baa9f948b2,SS3 Class E,Hailey Barajas,Female,2007-12-14,North Central,Kogi,Troublesome,None,Art
b3ee4d3b-5a10-4129-94ae-bd1b8ce6424d,SS3 Class B,Eric Hall,Female,2009-07-19,South West,Jigawa,Active,None,Science
1e9b23bc-50c7-4006-b14d-3441b8a6171f,SS2 Class A,Tiffany Vaughn,Female,2007-08-04,North West,Jigawa,Highly active,Dyslexia,Science
7bf47042-bd15-41c8-b764-fbda3108d448,SS3 Class B,Kevin Wolf,Female,2009-09-28,South South,Bayelsa,Active,None,Art
19bc143e-fb02-4ebb-8872-9a4d98c7472a,SS3 Class E,Elizabeth Ward,Male,2008-02-26,North East,Kaduna,Active,None,Art
88bd13d1-b540-430e-839f-3a254d6168bd,SS2 Class E,Angel Brown,Male,2009-01-08,North East,Borno,Slightly active,None,Science
2053da42-f1af-4b65-b289-f2244ac9778d,SS2 Class D,Nicole Garcia,Female,2009-05-09,South South,Ebonyi,Highly active,None,Science
782a65e0-48ca-4651-92f5-df7b0323d342,SS3 Class F,Glen Sheppard,Male,2010-07-29,South South,Kano,Highly active,None,Science
7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,SS3 Class C,Austin Vasquez,Male,2008-09-09,South South,Bauchi,Active,None,Art
0db95301-afbb-411a-a123-5a8c93b7a886,SS3 Class B,Robert Avery,Female,2007-11-17,North West,Ebonyi,Active,None,Science
1e52d770-3f89-4142-be71-6b1415ce6a66,SS2 Class B,Jennifer Carlson,Female,2009-03-17,North East,Bayelsa,Troublesome,None,Art
85c7504b-c693-4a11-b9c6-a1ca9e50aa42,SS2 Class B,Terry Evans,Female,2007-02-08,North West,Taraba,Slightly active,None,Science
4e2d6645-6dc7-4ac7-bd72-b05096a9954f,SS1 Class F,Amy Choi,Male,2009-05-24,North East,Adamawa,Troublesome,None,Art
3531968d-c342-4d2b-b295-456e19675f06,SS3 Class F,Deborah Miller,Female,2009-10-16,South South,Yobe,Troublesome,None,Art
1337739e-8d4f-4d27-ac7f-0b793d67cde9,SS3 Class F,Jason Norris,Female,2007-09-23,South East,Taraba,Unactive,Ulcer,Science
3b4206c5-085b-45fb-8a8f-f810784c2f29,SS3 Class B,Douglas Heath,Female,2009-12-28,North East,Kebbi,Highly active,Sickle Cell,Art
ec856f37-3bc1-4987-aff8-754d1238d630,SS3 Class C,Rick Lawrence,Female,2010-01-22,North Central,Enugu,Highly active,None,Science
6cd5e859-32a4-47b2-af04-e57dcdccc33a,SS2 Class F,Danny Hernandez,Male,2008-06-17,North East,Oyo,Slightly active,None,Art
1247ea4e-2469-48e8-939e-198b44007d5a,SS2 Class A,Ricky Larson,Female,2009-06-11,North Central,Lagos,Active,None,Art
49e2623d-ebd3-4616-91b7-8d8ed3016989,SS3 Class D,John Torres,Female,2009-09-15,North West,Kano,Unactive,None,Art
801ef1da-45b1-4d25-b153-3ae8670acc5c,SS2 Class E,Jessica George,Female,2007-08-11,North West,Ekiti,Highly active,Dyslexia,Science
5283aac7-bc0a-4a5d-ae99-6e3ee3b137fc,SS2 Class E,Allison Perez,Male,2007-07-17,South South,Kwara,Highly active,Asthma,Art
93403fad-dc4a-456b-9601-6237ac9ed156,SS2 Class C,Alicia Hubbard,Female,2007-03-17,North West,Bayelsa,Troublesome,Ulcer,Art
0a4c9f7f-9384-4c2b-84fe-acaed248a9a7,SS2 Class F,Casey Stone,Male,2008-05-12,South East,Kaduna,Highly active,None,Science
2e76128b-4735-44f9-aa83-bf007135f221,SS2 Class C,Jessica Olsen DVM,Female,2010-06-25,South South,Kebbi,Active,Ulcer,Art
5553b2fe-6889-403e-9913-f9d3785299f4,SS3 Class C,Brian Martin,Male,2006-12-19,North East,Imo,Slightly active,None,Science
49c8a43f-7ed7-4ed7-b194-990b6961929e,SS2 Class C,Jennifer Hodges,Male,2010-07-02,South West,Kebbi,Troublesome,None,Art
50843242-168b-4625-b46f-78910964fbbf,SS3 Class A,Brian Barton,Female,2010-02-10,South East,Akwa Ibom,Slightly active,None,Science
fcf56188-d32e-4dcd-83bc-9478dd6ac7b8,SS2 Class F,Sean Murray,Male,2010-08-21,North East,Abia,Troublesome,None,Science
5c9d927d-84b8-41bb-b005-68d20de051a6,SS1 Class F,Kathleen Ramos,Female,2008-11-11,North West,Katsina,Troublesome,Dyslexia,Art
8c99a894-445d-4c38-b41c-64940d366dfc,SS2 Class D,Dwayne Gilmore,Female,2009-11-11,North Central,Gombe,Unactive,None,Art
f920264c-0763-4cd0-9f15-c7b67c16128d,SS3 Class C,Rebecca Mckinney,Female,2007-08-21,North East,Kaduna,Active,None,Art
8d605936-0380-4b70-8d03-c91e4f8d5238,SS3 Class C,Danny Skinner,Female,2008-04-02,South South,Osun,Troublesome,None,Science
1e1242e3-f272-42b6-b621-72ed1d0bc9bd,SS1 Class A,Brittany Cantu,Female,2008-09-15,South West,Imo,Slightly active,None,Science
45ff2c83-b495-4b4e-8245-6fb44ab7706e,SS3 Class D,John Kennedy,Female,2007-12-13,South East,Ebonyi,Unactive,None,Science
6232b17a-2507-4181-8d1f-b54074eff545,SS3 Class F,Kyle Francis,Male,2009-02-11,South West,Kebbi,Unactive,None,Science
46b82659-11df-42d7-9d30-de8922f235f2,SS1 Class A,Sarah Morgan,Female,2008-02-27,North East,Imo,Highly active,None,Art
d20f87d0-4465-4d6b-81fb-18b3c9a7d91f,SS2 Class B,Nicholas Monroe,Male,2008-12-29,South East,Jigawa,Troublesome,None,Science
7d5911c6-a8f1-4091-bfb8-102d9475dbc9,SS3 Class D,Jill Washington,Male,2010-05-19,North West,Plateau,Highly active,None,Science
8b1e3b9d-c34b-4fbb-8d4a-75b8551ac8ea,SS1 Class B,Timothy Kane,Male,2007-10-21,South West,Kogi,Troublesome,None,Art
9261549d-3d22-4c30-b28f-41defb140bc3,SS2 Class F,Scott Jenkins,Male,2009-09-13,North West,Lagos,Highly active,None,Art
b489d070-7914-48a8-bea4-ff31517400f8,SS1 Class E,Jane Mcneil,Male,2007-09-27,South West,Enugu,Active,Dyslexia,Science
fb16e5db-a6ea-479e-921c-82f8cada4f80,SS2 Class E,Vincent Martinez,Male,2008-12-05,North West,Rivers,Active,None,Science
dea4ae17-54fd-4ad3-9716-108ef72169bb,SS3 Class E,Ryan Garcia,Female,2008-02-22,North Central,Taraba,Highly active,Dyslexia,Science
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,SS2 Class F,Seth Booker,Male,2008-08-30,North West,Benue,Slightly active,None,Science
f81dbaa1-c812-4a8e-b830-89301327f1bc,SS3 Class F,Marcus Sanders,Female,2010-06-17,South South,Katsina,Active,Asthma,Science
da330aa1-541c-4fcd-9a0d-4a5f148f8b74,SS1 Class C,Kimberly Finley,Female,2009-01-07,South East,Cross River,Active,Dyslexia,Art
c268283e-e32f-4e63-b7fd-dd71a075e927,SS2 Class C,Joshua Williamson II,Male,2010-10-03,North East,Cross River,Active,None,Art
ff574e2b-4991-4b9b-abc2-026faf34cf65,SS2 Class E,Brandon Good,Male,2008-08-23,South South,Imo,Active,None,Art
df615a5c-b432-4070-a23d-4c2fc2a79689,SS1 Class A,Christopher Evans,Male,2007-07-01,South East,Benue,Highly active,None,Art
cbd00ef2-530a-47df-8bc6-10660769165f,SS3 Class D,Ian Jordan,Male,2006-10-23,South South,Lagos,Highly active,Dyslexia,Science
90e0a95b-697c-4923-87fa-841a3e83b91f,SS3 Class E,Catherine Thompson,Male,2008-09-24,South West,Kano,Slightly active,None,Science
9ea556aa-61ee-4c5b-9eef-580f9c07a751,SS2 Class B,Kathleen Aguilar,Female,2008-04-15,North Central,Taraba,Slightly active,None,Art
4104a8b5-a34d-47c5-b60d-ebbb3b70b3a1,SS3 Class A,Michael Nolan,Male,2009-04-29,North Central,Kaduna,Troublesome,None,Science
ad77e82f-49a2-4a89-a6b5-a92c771ad655,SS1 Class E,Angela Landry,Female,2010-09-18,South East,Kebbi,Highly active,None,Art
a3917c99-4c95-4f6a-966b-1964fcd6bdca,SS2 Class F,Melissa Bryant,Male,2007-09-17,North Central,Gombe,Highly active,Dyslexia,Art
627b41a1-ffd6-4232-b2ff-e2944d57d880,SS3 Class D,Ashley James,Male,2010-08-02,North Central,Imo,Troublesome,None,Art
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,SS1 Class D,Alison Greer,Male,2009-07-24,North Central,Ekiti,Troublesome,Dyslexia,Art
90e0b95f-0212-4554-8644-58b46553867d,SS3 Class B,Paula Beltran,Female,2009-02-04,North West,Kaduna,Active,None,Science
7f2984f5-bec3-4a37-9b3d-74bde91e314e,SS1 Class C,Stephanie Parsons,Female,2008-10-15,North Central,Kano,Highly active,None,Art
5a31b4cc-cd4b-49a9-9b68-9c883ae909fe,SS1 Class F,Connor King,Female,2009-01-29,North West,Ebonyi,Troublesome,Dyslexia,Science
a8c01f05-c478-46f1-b88e-c318c16d83ed,SS2 Class F,Breanna Davis,Female,2007-12-03,North East,Abia,Slightly active,None,Art
4f1639a0-0a17-491e-a576-9411a0a11839,SS1 Class F,Amanda Diaz,Male,2010-02-28,South West,Osun,Highly active,Dyslexia,Science
4b8c5bdc-e8dd-4e5a-9712-fb1621a4344f,SS3 Class D,Jason Gonzalez,Male,2008-12-24,South South,Ondo,Troublesome,None,Art
f8b38a8b-e05f-48bc-8a16-a06cc958e75e,SS3 Class C,Jonathan Nelson,Female,2009-06-02,South East,Ebonyi,Active,None,Science
d31edf1a-e9ff-4cae-81c8-ca8c2a1f955a,SS3 Class D,Tracy Phillips,Male,2008-09-20,North East,Kano,Active,None,Art
1d7bc313-cde2-4f1c-96b6-0afcded255d0,SS2 Class A,Bernard Webster,Female,2007-06-24,South West,Kogi,Unactive,Dyslexia,Art
b966442a-ad23-4d36-9c32-2c9739c1e262,SS2 Class F,Jennifer Singleton,Female,2009-12-14,South West,Jigawa,Highly active,None,Art
ca6a2224-171e-46cc-9da3-6f1b8eac0a33,SS2 Class C,Dennis Martinez,Male,2009-06-07,South East,Ogun,Unactive,Epilepsy,Science
ac1e86d8-bfbf-497b-ac3e-7b0d5e5ba13d,SS3 Class E,James Little,Female,2009-06-09,South East,Cross River,Slightly active,Dyslexia,Art
3bdbc09e-acc2-46a0-9bbc-91f75f18e583,SS1 Class F,Manuel Hahn,Male,2007-11-20,North Central,Zamfara,Active,Dyslexia,Science
38ab854c-9c2e-48de-aa4e-361753f8382b,SS2 Class B,Madison Marshall,Female,2007-06-13,South South,Edo,Unactive,Dyslexia,Art
688613db-a634-4e78-8d5c-55c7b379cb1e,SS1 Class C,Andrew Johnson,Male,2008-02-07,South West,Cross River,Troublesome,Asthma,Science
18e19331-1dba-4267-be1c-a5a1fef518a6,SS2 Class A,Joshua Price,Male,2006-10-25,South South,Abia,Unactive,None,Science
be3e6e57-f30a-4e32-aba4-fc035efa9c5b,SS3 Class D,Kimberly Matthews,Female,2008-12-26,South South,Osun,Unactive,None,Art
6a35df59-e2aa-4a5d-a78e-d00dba0266ef,SS1 Class B,Sandra Gilbert,Female,2008-02-23,South West,Anambra,Troublesome,None,Science
08601833-479d-4cda-b396-ea37f065c817,SS1 Class F,Claudia Wallace,Male,2007-05-29,South East,Kwara,Troublesome,None,Art
196f4dfa-5cd8-4e1a-9afe-c8a93c71e0be,SS2 Class A,Mrs. Stephanie Newman,Male,2007-07-31,North West,Yobe,Troublesome,None,Art
30974b2b-46a0-4a9b-a5ec-7acd0f8035f5,SS3 Class B,Tiffany Holloway,Female,2007-08-08,North Central,Oyo,Active,None,Science
a446be72-364c-411a-a9ab-364a1777e8cb,SS1 Class F,Tricia Williams,Male,2010-02-13,North East,Katsina,Slightly active,Dyslexia,Science
203c8c25-fd23-4def-be5a-87e35560db22,SS2 Class D,Christine Gallegos,Female,2007-06-15,South East,Rivers,Unactive,None,Art
3748967f-961d-43ba-b508-43f08de08fc2,SS2 Class A,Crystal Schroeder,Female,2010-02-01,North West,Cross River,Troublesome,None,Art
00b9d4a3-9892-40ac-a689-33a9c9e48e8c,SS1 Class E,William Huerta,Male,2007-10-05,North West,FCT,Active,Asthma,Science
2cabd7e7-cc6b-46e5-802a-df9c8a4b8f7c,SS2 Class F,Sean Anderson,Male,2009-10-11,North East,Katsina,Unactive,None,Science
3ce915e7-c9d6-463b-8a3c-6f5f5bb5c40c,SS2 Class B,Alexis Baker,Female,2008-11-03,South South,Akwa Ibom,Unactive,None,Science
86ad8a8c-6bc4-423e-bde1-3c1b20733f6d,SS2 Class E,Arthur West,Male,2010-05-18,South East,Anambra,Highly active,None,Science
1beaf6ac-97fa-4f04-8363-90075cae9610,SS3 Class C,Daniel Gilbert,Male,2009-06-18,South East,Delta,Highly active,None,Science
ddf275eb-e8a3-4341-8881-9065ba2c98ce,SS1 Class D,Elizabeth Schneider,Male,2008-09-09,South South,Katsina,Highly active,Dyslexia,Science
7a9e8eef-ffa3-41be-8f92-40e107f97d05,SS2 Class A,Jessica Rodriguez,Male,2008-12-24,South West,Taraba,Troublesome,None,Science
12d0498d-718d-4d05-a8e2-2743b65feea9,SS2 Class A,Erica Hernandez,Female,2007-08-07,North East,Delta,Troublesome,None,Art
a21150f9-9fd3-4579-8667-72ce204e178c,SS1 Class B,Michelle James,Female,2007-03-10,South East,Gombe,Unactive,None,Art
7426b193-4b7e-4b3c-87d2-92a698eeac2b,SS2 Class E,Jessica Mcguire,Female,2009-02-07,South East,Anambra,Unactive,Asthma,Science
a6a27967-a79b-44b6-9a50-9fed1d4a3d81,SS3 Class A,Kristen Glenn,Male,2007-10-01,North West,Anambra,Troublesome,Dyslexia,Science
3a7e8e14-e359-4ee1-b399-1a476e191042,SS2 Class D,Ronald Ross,Female,2009-05-10,South East,Kano,Troublesome,Sickle Cell,Science
6d4067f4-5003-4b35-9857-8bafbac7e2b9,SS2 Class B,David Mckay,Male,2010-06-20,North Central,Anambra,Active,None,Art
112fa612-7969-4ed2-ac48-bf55afd380c4,SS2 Class E,Bradley Reynolds,Male,2010-08-22,North East,Ekiti,Unactive,None,Art
cfd01cbd-5f65-48ce-bd21-bc11be9d61ee,SS1 Class F,Anthony Frye,Male,2008-02-13,South West,Oyo,Unactive,None,Art
1f4a8ca1-ab85-4d59-9463-adc78fca7b6a,SS3 Class B,Shane Pugh,Female,2010-04-17,South West,Edo,Slightly active,None,Art
b8976ec5-ea74-4b18-9e3b-496f6c4596f6,SS2 Class F,Dwayne Edwards,Male,2009-01-18,North East,Cross River,Slightly active,None,Art
36760ce5-81e5-49f6-93f2-77cc1a85910d,SS3 Class F,John Boone,Male,2009-02-03,South East,Taraba,Troublesome,None,Science
5e187b24-8e67-4a01-986a-646059a1120e,SS2 Class C,Donald Perez,Female,2008-02-02,North East,Ondo,Slightly active,None,Science
f97be2dd-8f9b-42ae-985c-16bd6dda4f8d,SS1 Class E,Lisa Leonard,Female,2009-05-02,South East,Kogi,Slightly active,Dyslexia,Art
edd877c8-9be7-4737-86b8-92318e867f3c,SS1 Class E,Melissa Johnson,Male,2009-10-18,North East,Katsina,Unactive,None,Art
4f199ec0-c32d-4526-b3e4-110a45f50c52,SS2 Class A,Heather White,Female,2008-04-16,South East,Yobe,Unactive,Dyslexia,Science
6699cd99-a847-4ce7-90fa-6b5724ac2130,SS1 Class A,Patrick Bonilla,Female,2010-02-16,North West,Taraba,Active,None,Art
3712f2d1-87cd-46a1-bf01-2e32177d6e7e,SS3 Class F,Jesse Moore,Female,2007-09-30,North West,Gombe,Highly active,None,Art
c6deb2f0-530a-41c7-b8ba-83684fc77768,SS2 Class F,Linda Ware,Male,2009-04-05,North West,Kwara,Troublesome,None,Art
9e2aa4ac-c122-45b3-a84c-03d227d415b6,SS2 Class B,Brad Ramos,Male,2010-03-03,North East,Taraba,Active,None,Art
7129cec7-9b69-454d-bc54-535f6c8c3b6a,SS1 Class A,Daniel Hunt,Male,2009-08-27,South South,Oyo,Unactive,Dyslexia,Art
4882d73c-1c63-45ab-ae0e-d1e8585d3f86,SS2 Class F,Leslie Rose,Male,2009-02-16,South East,Abia,Troublesome,Asthma,Science
652ffb49-3873-457f-8ba0-78e84ef492c1,SS3 Class B,Mrs. Christine Dougherty,Female,2008-09-28,South South,Yobe,Unactive,None,Science
4169b9fc-c3a0-4c6f-a321-d1e1c47104c0,SS1 Class F,Bryan Jimenez,Female,2006-11-01,North West,Adamawa,Highly active,None,Art
61554667-2112-407c-acfa-55b06e3f683a,SS3 Class D,Crystal Hansen,Male,2007-02-04,South South,Anambra,Slightly active,None,Science
12738a23-5aaa-432f-8e63-22b6ab05347f,SS3 Class A,Patrick Graham,Female,2008-09-03,South South,Lagos,Active,None,Art
dcb33df3-13ee-4dc6-abd1-4d2c75b27455,SS1 Class C,Jeffrey Sullivan,Female,2007-07-01,South East,Ondo,Active,Dyslexia,Science
1d7c0098-4a1d-4b32-aaed-fdc7a3e05309,SS3 Class A,Vincent Jackson,Female,2009-06-26,South West,Osun,Highly active,None,Art
d4ffa666-75c8-490d-9e3d-750df296d9f0,SS2 Class D,Heidi Kim,Male,2010-07-15,North Central,Abia,Unactive,None,Science
96c044d0-6f88-4f28-be49-fd091b19d8b8,SS3 Class C,Blake Harrell,Female,2009-08-28,North Central,Oyo,Highly active,Dyslexia,Science
5543fc3c-38b8-424e-96ea-57b3beed10b6,SS3 Class A,Angela Schultz,Female,2009-10-14,North East,Benue,Unactive,None,Science
e7ea8d5a-31a3-4c4d-828c-37e787d5b7be,SS1 Class B,Heather Mullen,Male,2009-11-20,North West,Borno,Highly active,None,Science
3c7c1d85-25cf-4041-90a6-43fea53bc024,SS3 Class A,David Thompson,Male,2010-05-23,South South,Nasarawa,Unactive,None,Art
a7cf705c-c257-4f73-829d-782b2722796e,SS3 Class A,Trevor Burton,Female,2009-05-08,North Central,Adamawa,Highly active,None,Science
c2874f06-9050-47ef-8123-5c9176c5a0dc,SS3 Class D,Melanie Macias,Female,2007-03-12,North East,Imo,Slightly active,Ulcer,Science
9fe0a8c7-fc8d-4b93-a2a2-e91fa49b1cd9,SS1 Class A,Wesley Stewart,Female,2007-03-19,North West,Kano,Highly active,None,Science
71348c2a-780b-4657-917b-355b70944bdb,SS2 Class B,Rebecca Vargas,Female,2008-12-24,South West,Katsina,Highly active,None,Art
4f76e388-12fe-48bf-81e0-d4895a18e2a3,SS2 Class C,Andrew Wood,Female,2007-09-10,South South,Anambra,Troublesome,None,Science
dd3f7d7e-a508-4c95-93a4-a492497de16d,SS3 Class B,Ann Wheeler,Female,2009-05-07,South South,Akwa Ibom,Unactive,Dyslexia,Science
8de7ad6c-9490-47c2-b674-456f626d719d,SS2 Class D,Nancy Williams,Female,2007-04-28,South South,Katsina,Highly active,None,Science
a6ded1d8-9258-47b7-8f50-1889e8b77f7b,SS2 Class A,Larry Mason,Male,2007-08-16,South West,Kebbi,Active,None,Science
1a7f195b-7355-4b9d-8fd6-f47ef52d4af2,SS1 Class B,Sara Haas,Male,2010-05-02,South South,Edo,Slightly active,Asthma,Art
2c2cd22b-a568-45c6-812a-1f9b15969802,SS1 Class E,Michael Ritter,Male,2010-02-22,South East,Osun,Highly active,None,Science
28a39779-9c1c-4517-85d2-d0a686295b5d,SS1 Class D,Thomas Hughes,Female,2008-10-15,South South,Rivers,Unactive,Sickle Cell,Science
990f0c5b-adcc-4daf-969f-3ab3c6435300,SS1 Class F,Mark Cook,Male,2006-10-27,South East,Imo,Active,None,Art
adaa44ca-8ed6-4d5e-9831-8aa354669d19,SS1 Class B,David York,Female,2007-10-16,North Central,Adamawa,Troublesome,None,Science
df8f4197-9a4a-49b2-a806-133cf6e39356,SS2 Class A,Brad Alvarado,Male,2007-07-04,North Central,Kebbi,Slightly active,Dyslexia,Art
f7baf55e-4f6b-48c8-998d-daeceaafe543,SS2 Class B,Mary Anderson,Male,2009-03-22,North East,Zamfara,Troublesome,None,Art
4f40c22f-15b0-4530-b020-e992b576255e,SS1 Class C,Maria Murphy,Female,2007-11-21,South West,Taraba,Highly active,None,Science
d436a7a8-b3ec-4951-ab8c-bf9720b71785,SS3 Class E,Yolanda Gaines,Female,2008-04-16,North East,Katsina,Highly active,Ulcer,Science
6c645c15-aba3-41cb-a561-e1e917ec889c,SS1 Class F,Alicia Parker,Male,2010-07-11,South South,Cross River,Troublesome,None,Art
f29a6339-577b-455a-b6d5-5494f37fd50d,SS1 Class E,Cheryl Cooke,Male,2007-01-05,South East,Edo,Unactive,None,Science
d82c7565-4bb9-47ec-93c1-175427aa7cbc,SS3 Class F,Katie Fernandez,Female,2010-09-12,North Central,Gombe,Unactive,Dyslexia,Art
09a9d1c1-86ca-46f4-a238-fe93bd17c5e8,SS3 Class C,Sherri Williamson,Female,2008-05-27,South South,Anambra,Troublesome,Dyslexia,Art
29890880-277d-4be9-a070-b6a198e52499,SS2 Class A,Michael Weber,Male,2010-09-27,North East,Gombe,Active,None,Science
700b5d5f-b89f-42f3-aa60-c652e7147668,SS2 Class C,Jackson Ball,Male,2009-06-18,North Central,Jigawa,Active,None,Art
48f1096d-9c4f-4b46-b1b7-01aaf836f571,SS1 Class F,Rachel Young,Female,2009-12-05,South West,FCT,Unactive,None,Science
cf01f944-f731-4749-8f39-49a83d3a2582,SS1 Class F,Stephanie Lee,Female,2009-05-29,South South,Kebbi,Troublesome,None,Science
fc043f08-9207-4158-b277-1f63ada58417,SS2 Class A,Randy Strickland,Male,2009-03-26,North Central,Bauchi,Active,Ulcer,Science
f75d599f-6b2d-4b09-8707-9ad480be7e35,SS2 Class C,Curtis Jacobs,Male,2009-08-27,South South,Gombe,Highly active,None,Art
