,Student ID,First Name,Last Name,Gender,Age,State,City,School,Enrollment Date,Grade Level,Parent Name,Parent Occupation,Household Income (NGN),Parent Education Level,Household Size,Library Hours per Week,Teacher-Student Ratio,Allocated Teacher Hours,Extra-Curricular Activity,Weekly Hours in Activity,Mathematics,Science,English,Social Studies,Physical Education
15,56dc8907-ba6c-44ab-a712-303a0f844fef,Lauren,Rodriguez,Female,13,Kwara,East Amanda,and Sons,2022-01-02,6,David Leblanc,Probation officer,13918304,Primary,10,5,0.05,28,Drama,4,70.0,71.0,53.0,72.0,74.0
16,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,Corey,Pearson,Male,17,Benue,North Sarabury,and Sons,2021-12-06,2,Dr. Steven Martin,"Accountant, chartered",2424949,Primary,9,10,0.08,24,Music,4,48.0,55.0,87.0,71.0,70.0
17,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,Kristen,Gibson,Male,10,Kwara,Hortonside,Ltd,2023-06-01,12,Edward Novak,TEFL teacher,13691692,None,3,5,0.08,27,Drama,1,43.0,55.0,60.0,44.0,100.0
18,bf7b539b-0f9a-4a4b-8acd-4e10bc594585,Lee,Williams,Female,16,Oyo,Shawhaven,and Sons,2020-04-08,6,Sarah Jones,Broadcast journalist,4413731,Secondary,5,4,0.09,37,Debate,2,59.0,62.0,42.0,62.0,41.0
19,675dd5af-3c36-4296-9ca0-2eecacdabacc,David,Zamora,Female,13,Zamfara,New Brooke,PLC,2020-05-22,11,Krystal Stewart,Games developer,6738286,None,9,5,0.06,31,Drama,5,96.0,60.0,66.0,43.0,41.0
20,506e5a9a-b758-488d-ab73-295b344a54b8,John,Foster,Female,5,Benue,Stephenland,Inc,2022-03-06,11,Dr. Angel Lewis MD,Magazine journalist,10862609,Secondary,9,9,0.06,39,Chess,3,89.0,56.0,92.0,45.0,61.0
21,3e896c64-e117-4ac3-919c-4ea3e1805081,Mike,Moore,Male,12,Abia,Cherylhaven,Inc,2023-03-05,7,Tara Garcia,Contractor,13411269,Secondary,9,10,0.07,15,Science,1,94.0,73.0,78.0,72.0,47.0
22,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,Julia,Moore,Male,17,Oyo,Cassandramouth,and Sons,2023-04-08,6,Kathy King,Arts development officer,16728291,Tertiary,10,2,0.04,39,Science,5,66.0,74.0,98.0,88.0,65.0
23,d450281c-6c6f-4633-a260-772317a0df49,Joshua,Smith,Male,6,Ogun,Lake Tina,and Sons,2023-07-10,9,Jessica Smith,Call centre manager,19081183,None,10,3,0.07,28,Music,5,93.0,62.0,93.0,98.0,67.0
24,e767dcea-b0e6-4969-a213-42b0f1eedba3,Edward,Johnson,Female,6,Borno,Brandiberg,Group,2020-08-09,5,Steven Flynn,Archaeologist,6050494,Secondary,9,4,0.09,21,Drama,4,89.0,65.0,96.0,92.0,66.0
25,ae9bec36-35c7-436c-9b99-62c6e61fecc0,John,Garcia,Female,11,Borno,Dicksonberg,and Sons,2024-02-09,2,Rita Keith,Agricultural consultant,12066764,Tertiary,4,7,0.07,35,Debate,3,56.0,84.0,48.0,81.0,94.0
26,550a1b46-ecab-4301-bc8f-7d292dea9493,Kimberly,Jenkins,Male,16,Kano,West Erik,Ltd,2020-07-06,9,Shannon Walker,Psychiatrist,17419641,None,9,6,0.04,18,Music,4,59.0,80.0,52.0,54.0,88.0
27,cb9bc326-d20e-4c17-8e20-fd1a598336e3,Monica,Walker,Female,14,Edo,South Mark,Inc,2024-08-05,10,Martin Ross,Software engineer,2120809,None,6,10,0.09,22,Science,3,82.0,94.0,63.0,42.0,84.0
28,1d870966-0710-4430-b071-d87954c63cd8,Natalie,Green,Male,18,Abia,Benjaminchester,LLC,2023-06-18,7,Larry Dixon,Musician,7899184,Primary,3,9,0.08,35,Debate,5,94.0,79.0,59.0,43.0,50.0
29,41357e8c-30a9-40ad-939b-462de645f129,Bradley,Graham,Female,10,Delta,West Ryan,Ltd,2024-05-17,7,Mary Martinez,Hydrologist,1364659,Tertiary,7,7,0.06,38,None,1,56.0,79.0,87.0,79.0,82.0
30,688c7015-aab9-4e49-8f2d-479681d2c7de,Mark,Terry,Female,17,Niger,East Robert,Group,2023-03-21,8,Lisa Turner,Sports therapist,5398195,Secondary,6,9,0.04,35,None,1,48.0,73.0,55.0,59.0,72.0
31,49732d6c-4dca-4fb7-801a-9a8bd56f0350,Jason,Floyd,Female,13,Kebbi,Stevenmouth,Ltd,2021-01-05,2,Steven Flynn,"Doctor, general practice",5919632,None,4,6,0.05,18,Chess,2,69.0,75.0,63.0,58.0,67.0
32,83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Elizabeth,Harvey,Male,17,Osun,Port Stephaniebury,Ltd,2021-06-22,1,Brittany Williams,Public relations officer,7859337,Secondary,9,9,0.05,24,Drama,4,48.0,53.0,77.0,97.0,84.0
33,12a4def0-c4bb-47a9-9988-68dd9c7c7377,Stanley,Mercado,Female,12,Edo,Lake Heather,Group,2021-11-24,6,Michael Stafford,Clinical biochemist,3340676,Secondary,10,5,0.07,20,Football,3,77.0,52.0,54.0,48.0,55.0
34,2d06e8cf-3805-4907-acd6-6193c7468f59,Linda,Dominguez,Male,17,Rivers,Williamsbury,Inc,2022-03-03,2,Mary Travis,"Therapist, nutritional",8833418,Tertiary,7,7,0.06,27,Art,1,83.0,42.0,64.0,62.0,71.0
35,e4347d51-c158-4092-b335-cba3513a7052,Scott,Briggs,Male,15,Bauchi,Rivasside,Group,2024-04-06,12,Karen Green,Firefighter,6902818,None,10,5,0.06,21,Debate,4,79.0,90.0,81.0,99.0,49.0
36,c40c5d91-46fd-4062-a33d-c7afd701410d,Kimberly,Washington,Male,6,Kaduna,West Scott,Ltd,2021-05-11,4,Francisco Fernandez,Corporate investment banker,17074586,Primary,8,5,0.09,33,Chess,2,94.0,43.0,72.0,75.0,90.0
37,b1a6b1f1-620e-49d3-bb33-f3d8269cd696,Eric,Lewis,Male,14,Borno,Russellside,Group,2021-12-22,11,Jason Stein,Television/film/video producer,18759014,Secondary,5,6,0.05,31,None,2,47.0,63.0,75.0,82.0,52.0
38,db52ca58-0500-4bc6-b20d-cb6ef2311f17,Nicole,Johnston,Male,17,Katsina,Smithstad,LLC,2023-08-01,10,Tiffany Barnes,Sports coach,13528353,None,3,5,0.05,39,Music,4,52.0,46.0,71.0,41.0,85.0
39,3875394c-e5d6-46e6-9a6e-c2f5ccc42903,Tracy,Nelson,Female,15,Katsina,Johnsonmouth,Ltd,2023-03-24,12,Christopher Mcdonald,Conference centre manager,4904517,Tertiary,6,10,0.03,21,Football,1,60.0,97.0,84.0,62.0,61.0
40,06e745f9-88bc-439c-9f4c-3b79fb10987f,Rebecca,Vargas,Male,18,Edo,North Dawnberg,Group,2020-11-11,7,Garrett Gibson,Leisure centre manager,12371780,Primary,3,8,0.03,25,Music,5,45.0,53.0,42.0,79.0,50.0
41,473bd358-610e-4a64-a130-1617c2dff335,Karen,Decker,Male,8,Ekiti,Maryfort,Inc,2023-07-24,12,Trevor Walker,Broadcast presenter,197394,Primary,3,10,0.04,36,Football,1,61.0,83.0,50.0,93.0,42.0
42,0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Karen,Herring,Female,14,Lagos,Port Andrew,and Sons,2021-02-18,2,Brian Gould,"Psychologist, occupational",2687152,Primary,9,10,0.08,34,Chess,5,83.0,69.0,92.0,94.0,58.0
43,5e6fea07-c453-4f1d-8199-2fdfb31022f0,Gary,Lawson,Male,9,Enugu,Port Loriport,Inc,2022-10-01,5,Laura Odonnell,Mining engineer,3083174,Tertiary,7,2,0.09,23,Drama,1,88.0,71.0,64.0,59.0,71.0
44,32c5bd89-b70b-4420-b104-3785658b2523,Charles,Vaughn,Female,7,Kebbi,North Heidi,LLC,2024-01-16,7,Barbara Riggs,Architectural technologist,8662962,Secondary,9,2,0.04,33,Art,4,63.0,68.0,69.0,49.0,80.0
45,a9597663-6daa-4e68-8861-fe1858e25888,Mitchell,Hunter,Male,15,Edo,Alexanderchester,Group,2020-07-02,6,Madison Poole,"Designer, ceramics/pottery",15277698,None,7,3,0.05,26,Debate,1,87.0,68.0,96.0,99.0,45.0
46,859131d2-bbda-4242-ad17-4fc96f7c15ea,Tammy,Nelson,Male,6,Bayelsa,Marshallshire,LLC,2021-07-13,6,Timothy Ramirez,"Production designer, theatre/television/film",18911932,Secondary,8,4,0.1,27,Drama,4,83.0,72.0,73.0,84.0,50.0
47,91e1aa96-76f7-4255-801f-36bf3e6dd58b,Cheryl,Gray,Female,8,Ogun,South Melissaburgh,Group,2021-01-03,7,Gina Beard,Health and safety adviser,11572549,Tertiary,7,7,0.06,30,Debate,3,82.0,74.0,80.0,42.0,53.0
48,f2b43abf-8441-4efd-8299-436a8e485223,James,Allen,Male,17,Enugu,Freemanbury,Ltd,2022-04-06,3,Joan Smith,Hospital pharmacist,15271088,Secondary,5,7,0.03,24,Art,4,70.0,53.0,44.0,76.0,94.0
49,3e493f43-b118-468d-a786-d50638ba8abc,Kevin,Perkins,Female,15,Lagos,Transtad,Group,2024-09-26,8,Heather Chavez,Information officer,16272118,Secondary,7,7,0.09,38,Art,2,73.0,55.0,63.0,79.0,61.0
50,b8a6171f-1ee3-4dc4-bb04-8a8b405bfdc9,James,Wilson,Male,7,Borno,East Javier,Group,2021-04-25,5,Paige Carlson,Chiropodist,7010713,Secondary,3,2,0.06,16,Drama,5,69.0,42.0,40.0,46.0,89.0
51,3a3c563e-4bd6-4ee6-b1b1-b099d52721e7,Michael,Turner,Male,13,Bayelsa,West Brandon,Inc,2022-08-18,11,Beth Oneill,Recycling officer,15939293,Primary,4,9,0.06,17,Football,2,51.0,77.0,56.0,88.0,60.0
52,92f5df7b-0323-4342-9f6a-8f931a432f0a,Justin,Mendoza,Female,10,Ogun,Jackton,LLC,2024-06-21,2,Rodney Morales,"Buyer, retail",8758867,Tertiary,9,5,0.04,35,Drama,4,69.0,51.0,44.0,90.0,69.0
53,0db95301-afbb-411a-a123-5a8c93b7a886,Edward,Shepherd,Male,7,Nasarawa,Christopherbury,Inc,2022-08-26,7,Kyle Montgomery,"Scientist, research (medical)",4465973,Tertiary,10,2,0.09,29,Chess,2,77.0,58.0,77.0,61.0,90.0
54,715629ee-e893-4e3d-b354-ea6f61607459,Kenneth,Chapman,Female,7,Imo,Torreston,PLC,2024-07-24,7,Phillip Garrett,"Geneticist, molecular",1052429,Primary,7,9,0.05,17,None,3,57.0,90.0,86.0,43.0,42.0
55,3d67cde9-2834-44c0-94c8-b3b4a911d192,Glenn,Jones,Male,14,Adamawa,South Shannonfort,LLC,2020-02-26,1,Douglas Heath,Building services engineer,4110392,Primary,5,8,0.05,30,None,2,97.0,73.0,62.0,63.0,84.0
56,43b9da13-ec85-4f37-bbc1-a987aff8754d,Kristin,Weber,Female,17,Taraba,South Danny,and Sons,2023-01-29,3,Samantha Jones,Diagnostic radiographer,11736354,Secondary,4,8,0.07,19,Music,3,47.0,64.0,42.0,90.0,93.0
57,bfbbb17f-9854-4e4e-8ebf-a5c3cae9b4a7,Madison,Morse,Male,12,Plateau,Martinezport,Ltd,2021-11-29,6,Joshua Kim,"Therapist, sports",11492514,None,6,2,0.06,22,Debate,5,83.0,90.0,77.0,85.0,78.0
58,bc0a6a5d-6e99-4e3e-a3b1-37fc0a3450fc,Marcus,Wright,Male,10,Ebonyi,East Suzanneshire,PLC,2024-07-08,3,Miss Debra Williams PhD,"Psychotherapist, dance movement",3093830,Primary,10,5,0.03,32,Debate,1,49.0,87.0,71.0,76.0,88.0
59,ea83bf00-7135-4221-a6c9-537f84dad06a,Joshua,Shea,Female,7,Kano,Waltersfort,Inc,2022-03-26,1,Frank Garcia,"Designer, multimedia",6489524,None,5,2,0.05,31,Music,2,93.0,63.0,88.0,78.0,70.0
60,7ed70ed7-b194-490b-a961-929e546e035a,Keith,Landry,Male,6,Katsina,South Christopherview,LLC,2020-07-20,3,Sharon Bryan,Accommodation manager,9911077,None,7,6,0.04,20,Debate,1,67.0,57.0,76.0,63.0,64.0
61,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,Robert,Lopez,Female,11,Anambra,Cindyfort,Ltd,2022-02-06,5,Derek Anderson,Holiday representative,1228366,Secondary,8,7,0.1,26,Debate,2,96.0,90.0,53.0,62.0,41.0
62,7c16128d-b2c0-4394-a17f-29e170286046,David,Dudley,Male,12,Anambra,Lake Eric,PLC,2020-01-24,4,Danny Skinner,Clothing/textile technologist,17243997,None,8,5,0.06,21,Chess,4,45.0,44.0,92.0,61.0,47.0
63,a5d04d53-1e12-42e3-b272-92b6762172ed,Marilyn,Jimenez,Male,14,Adamawa,Williamview,Group,2023-12-20,8,Mrs. Kristen Reyes,Tour manager,4851221,None,5,2,0.07,15,Science,3,49.0,48.0,81.0,64.0,63.0
64,22f235f2-e11b-468d-bf0d-073d821c1336,Michelle,Hill,Male,18,Lagos,Morganhaven,LLC,2023-11-25,2,Edwin Matthews,Recruitment consultant,18919794,Primary,8,3,0.08,17,Football,4,79.0,46.0,97.0,98.0,87.0
65,89e06ab3-7250-4e18-a60a-5962dd81b7f5,Todd,Cook,Female,13,Edo,Gibsonmouth,and Sons,2024-08-29,4,James Chase,Paediatric nurse,7541098,Primary,8,9,0.09,17,Music,4,63.0,58.0,96.0,51.0,62.0
66,7914f8a8-bea4-4f31-9174-00f80b2c782a,Janet,Shepherd,Male,7,Ogun,Mcneilberg,Group,2024-08-01,11,Vincent Rivera,Chiropodist,6745371,Primary,8,5,0.07,40,Football,3,98.0,60.0,68.0,79.0,60.0
67,1986b4b2-70b7-4868-9854-80f0dfcaf0b7,Alicia,Bryant,Female,9,Kaduna,South Monica,and Sons,2020-05-09,10,Deborah Hanson,Occupational therapist,9092654,Tertiary,8,5,0.03,21,Football,3,82.0,77.0,41.0,57.0,93.0
68,541cdfcd-da0d-4a5f-948f-8b74a65bb1f2,Melissa,Villarreal,Male,15,Katsina,Finleyfort,PLC,2020-03-03,11,Mark Mccall,Ergonomist,5423489,None,7,8,0.1,26,Football,1,51.0,44.0,75.0,93.0,86.0
69,fa745761-6f18-4108-9723-199dbf2c14a0,Corey,Schultz,Female,12,Kano,South Garrettport,Inc,2020-03-20,7,Elaine Brooks,Dancer,7237456,None,7,6,0.06,22,Art,3,45.0,86.0,50.0,62.0,74.0
70,90e0a95b-697c-4923-87fa-841a3e83b91f,Erin,White,Female,8,Niger,North Chelsea,Group,2022-12-11,7,Thomas Thomas,"Psychologist, clinical",9890793,Tertiary,3,6,0.07,23,Science,1,88.0,73.0,93.0,96.0,58.0
71,415d174a-75a6-4981-8104-a8b5a34db7c5,Elizabeth,Nolan,Male,10,Zamfara,Santanaside,and Sons,2020-05-08,5,Victoria Evans,Photographer,6712048,Tertiary,6,8,0.07,28,None,1,77.0,70.0,79.0,53.0,77.0
72,d865d69a-74f3-4103-8006-6ff2b0b862ef,Kevin,Kidd,Female,7,Cross River,Rodriguezfurt,PLC,2021-09-15,10,Michael Johnson,Occupational hygienist,5636296,Tertiary,3,2,0.08,26,Football,2,51.0,97.0,65.0,52.0,63.0
73,dd750e98-90e0-495f-8212-b554464458b4,Gina,Garner,Female,15,Ondo,New Julieport,and Sons,2022-11-19,12,Mark Oliver,"Copywriter, advertising",3859771,None,10,5,0.05,33,Music,1,91.0,81.0,99.0,56.0,99.0
74,a0a11839-e745-4704-98df-bc3ca0d4de3d,Debbie,Parker,Female,6,Rivers,Johnsonstad,Ltd,2020-08-16,4,Erin Perry,"Engineer, control and instrumentation",18492024,Secondary,3,3,0.09,29,Football,1,65.0,51.0,69.0,43.0,43.0
75,e05fb8bc-8a16-406c-8958-e75e21d53971,Teresa,Schmidt,Male,14,Gombe,Mariaview,Group,2024-08-06,10,Seth Brock,Psychotherapist,939941,Tertiary,6,8,0.05,19,Music,2,99.0,52.0,52.0,64.0,88.0
76,c1101266-2408-46dc-9346-d1a9f6802cdb,Tammy,Dalton,Male,13,Kaduna,Coffeyside,LLC,2020-06-05,7,Dennis Martinez,"Merchandiser, retail",14572248,Primary,7,4,0.1,24,Art,1,65.0,49.0,59.0,45.0,70.0
77,431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Brenda,Carson,Male,12,Anambra,Danielbury,Group,2020-02-13,3,Kristina Herman,Environmental consultant,9123280,Primary,5,6,0.1,33,Chess,2,66.0,95.0,61.0,52.0,59.0
78,d2e82f38-a2a9-44d8-902e-fde5a5cc8bf7,Steven,Haynes,Female,16,Benue,Wilsonton,Inc,2021-06-12,4,Brent Clay Jr.,Professor Emeritus,9618667,Secondary,5,10,0.05,25,None,1,69.0,90.0,79.0,69.0,69.0
79,be3e6e57-f30a-4e32-aba4-fc035efa9c5b,Heather,Fernandez,Male,10,Yobe,South Diana,Group,2022-12-04,5,Diana Vaughn,"Engineer, water",18799775,None,6,9,0.08,29,Debate,5,44.0,54.0,59.0,87.0,48.0
80,3c71e0be-f357-4560-b1d7-966571818dcf,Melissa,Garcia,Female,6,Sokoto,Amystad,Inc,2021-11-22,10,Bryan Charles,"Programme researcher, broadcasting/film/video",9857390,Primary,9,8,0.08,34,Chess,4,62.0,50.0,55.0,83.0,90.0
81,a446be72-364c-411a-a9ab-364a1777e8cb,Danielle,Maddox,Female,18,Akwa Ibom,Port Matthewberg,PLC,2020-12-22,4,Kristen Willis,"Exhibitions officer, museum/gallery",13646347,Primary,6,9,0.07,19,Music,5,43.0,72.0,63.0,42.0,67.0
82,c9e48e8c-25c6-4c45-863d-04ee541c7a86,Rachel,Smith,Male,12,Kwara,East Amber,and Sons,2020-07-09,10,Bonnie Howard,Field seismologist,5838112,Secondary,8,6,0.09,19,Debate,4,42.0,71.0,60.0,55.0,86.0
83,2c9b662e-040a-4aae-92e2-afd996bf10ab,Joseph,Martinez,Male,10,Akwa Ibom,Foxland,Group,2022-02-17,6,Kevin Hayes,Environmental consultant,5960181,None,5,5,0.04,28,None,1,58.0,54.0,86.0,70.0,87.0
84,ba2c98ce-0b19-488e-9d77-a45ef206c269,Krista,Camacho,Female,5,Imo,Stephentown,Inc,2024-09-29,2,Jessica Rodriguez,"Producer, radio",10007003,Tertiary,5,4,0.1,15,Science,5,99.0,71.0,51.0,59.0,41.0
85,5275eb94-14ae-4f5c-a636-58c912d0498d,Charlene,Jones,Male,11,Jigawa,Claudiashire,PLC,2023-05-21,9,Kyle Phillips,Risk analyst,5947808,Secondary,4,4,0.08,38,Chess,4,68.0,100.0,83.0,81.0,98.0
86,cb08587d-1963-426d-ae21-8b099afd4015,Jacqueline,Farrell,Female,15,Ebonyi,South Shannon,and Sons,2021-12-19,9,Jennifer Blair,Intelligence analyst,16425634,Primary,9,6,0.05,20,Drama,2,73.0,96.0,90.0,51.0,98.0
87,4140752c-aa44-4259-9001-8b7b6d4067f4,Nicholas,Hernandez,Female,15,Delta,Jonesland,Inc,2022-01-19,4,Jacqueline Anderson,Best boy,18343071,Primary,5,6,0.08,20,Debate,5,71.0,95.0,42.0,50.0,48.0
88,8fca7b6a-8fc4-4092-b4e5-59e596229348,Mark,Martinez,Female,11,Ekiti,Morganchester,Ltd,2020-03-30,12,Erik Garcia,"Runner, broadcasting/film/video",4482735,Secondary,6,7,0.04,38,Drama,4,46.0,74.0,47.0,63.0,50.0
89,7b70c3b8-a81f-4ec3-a79c-658a36760ce5,Jeffrey,Rodriguez,Male,6,Borno,Dannyview,PLC,2021-01-27,8,Justin Saunders,Wellsite geologist,19888031,Primary,7,10,0.09,15,Science,2,87.0,59.0,52.0,63.0,98.0
90,8e867f3c-a487-4eab-accb-461a9d132363,Anthony,Hickman,Female,16,FCT,Anthonyview,Ltd,2023-08-16,3,Heather White,Customer service manager,5000794,Secondary,5,10,0.09,18,None,5,87.0,59.0,97.0,96.0,66.0
91,11d059b2-6699-4d99-a847-bce790fa6b57,Donald,Schultz,Male,7,Kaduna,North Julieborough,Group,2021-12-29,4,Jacob Griffith,Tax inspector,2991904,Primary,7,5,0.1,40,Art,4,86.0,56.0,81.0,95.0,42.0
92,0d77c5a0-e222-46a6-95bf-be9798a21f1c,Eric,Webster,Female,7,Oyo,Lake Christophermouth,Ltd,2022-01-06,10,Jennifer Lewis,Science writer,223966,Primary,8,7,0.08,15,Drama,1,41.0,81.0,61.0,97.0,67.0
93,1c6345ab-6e0e-41e8-985d-3f861d2324e6,Justin,Gregory,Female,17,Imo,Roseport,Inc,2021-01-17,10,Mrs. Christine Dougherty,"Copywriter, advertising",18238429,Tertiary,5,9,0.05,28,Debate,4,55.0,93.0,55.0,44.0,53.0
94,53ffd3a2-4a19-4501-8169-b9fcc3a00c6f,David,Jimenez,Female,17,Bayelsa,Thompsonfurt,PLC,2023-05-06,1,Sandra Drake,Building surveyor,7906814,None,6,9,0.06,19,Art,2,63.0,87.0,78.0,76.0,79.0
95,0ad45230-bdf6-4ba5-9c9c-96de65a674c2,Ryan,Stevens,Male,18,Plateau,Port Lawrencechester,PLC,2021-12-03,10,Donna Sullivan,"Journalist, broadcasting",14707938,Primary,6,3,0.07,30,None,2,78.0,76.0,45.0,78.0,41.0
96,9e3d750d-f296-49f0-8d23-72c22bffe17b,Steve,Norris,Female,13,Oyo,Christopherville,and Sons,2022-01-26,10,Blake Harrell,"Librarian, academic",18090254,None,3,7,0.04,28,Chess,1,42.0,45.0,98.0,43.0,44.0
97,2b0abedd-c774-44cb-9543-fc3c38b8f24e,Charles,Schultz,Male,14,Lagos,Port Michael,Ltd,2024-07-21,12,Brittany Garcia,Furniture conservator/restorer,10686662,None,6,8,0.09,16,Football,2,84.0,72.0,75.0,95.0,87.0
98,2722796e-9a36-41ec-ac6a-6e9a328067a1,Kathleen,Rios,Male,5,Gombe,Port Courtney,Group,2023-08-02,3,Joann Glass,Systems analyst,16827134,None,6,5,0.09,28,Science,1,58.0,42.0,89.0,41.0,77.0
99,9fe0a8c7-fc8d-4b93-a2a2-e91fa49b1cd9,Marcus,Maddox,Female,5,Imo,Edwardland,Group,2022-02-06,6,Donald Brown,"Runner, broadcasting/film/video",3071633,Primary,6,4,0.09,33,Science,4,57.0,85.0,95.0,43.0,70.0
100,73b0a091-7634-4169-8f76-e38812fe28bf,Benjamin,Wood,Male,10,Katsina,Chaseland,PLC,2022-10-28,9,Kevin Best,Architectural technologist,18865320,Tertiary,4,7,0.09,18,Debate,5,63.0,64.0,61.0,44.0,68.0
101,925817b7-cf50-4889-a8b7-7f7b7321bf6b,Denise,Morris,Male,8,Ebonyi,Masonton,Group,2020-06-28,12,Gwendolyn Klein,Retail merchandiser,10501730,Primary,6,4,0.08,37,Chess,1,55.0,92.0,93.0,89.0,65.0
102,3f6c21f7-0a05-47f0-ac2c-d22ba56895c6,Jasmine,Ritter,Female,15,Jigawa,West Nathan,LLC,2021-11-03,11,Meghan Williams,"Lecturer, higher education",5139434,None,3,4,0.07,36,Science,1,69.0,56.0,96.0,73.0,84.0
103,8ed6ad5e-1831-4aa3-9466-9d1910df9974,Erika,Mitchell,Male,17,Abia,West Christopher,Ltd,2020-09-02,7,Walter Hale,"Nurse, children's",15285779,Primary,10,4,0.09,29,Chess,1,84.0,89.0,55.0,47.0,71.0
104,f020e992-b576-455e-9854-9f222102f9c9,Christopher,Hansen,Male,10,Nasarawa,Lisahaven,Inc,2023-01-26,9,Ivan Cox,Education administrator,17147849,None,5,4,0.08,34,Football,1,66.0,83.0,86.0,55.0,61.0
